Cs	  NRMSD[H]	Std[P]
2.00	1.383760E-02	1.555870E-03
2.10	1.341782E-02	1.584367E-03
2.20	1.300587E-02	1.612864E-03
2.30	1.260177E-02	1.641361E-03
2.40	1.220550E-02	1.669858E-03
2.50	1.181706E-02	1.698355E-03
2.60	1.143647E-02	1.726852E-03
2.70	1.106371E-02	1.755349E-03
2.80	1.069878E-02	1.783846E-03
2.90	1.034170E-02	1.812343E-03
3.00	9.992450E-03	1.840840E-03
3.10	9.651039E-03	1.869337E-03
3.20	9.317464E-03	1.897834E-03
3.30	8.991727E-03	1.926331E-03
3.40	8.673826E-03	1.954828E-03
3.50	8.363763E-03	1.983325E-03
3.60	8.061536E-03	2.011822E-03
3.70	7.767147E-03	2.040319E-03
3.80	7.480594E-03	2.068816E-03
3.90	7.201879E-03	2.097313E-03
4.00	6.931000E-03	2.125810E-03
4.10	6.667959E-03	2.154307E-03
4.20	6.412754E-03	2.182804E-03
4.30	6.165387E-03	2.211301E-03
4.40	5.925856E-03	2.239798E-03
4.50	5.694163E-03	2.268295E-03
4.60	5.470306E-03	2.296792E-03
4.70	5.254287E-03	2.325289E-03
4.80	5.046104E-03	2.353786E-03
4.90	4.845759E-03	2.382283E-03
5.00	4.653250E-03	2.410780E-03
5.10	4.468579E-03	2.439277E-03
5.20	4.291744E-03	2.467774E-03
5.30	4.122747E-03	2.496271E-03
5.40	3.961586E-03	2.524768E-03
5.50	3.808263E-03	2.553265E-03
5.60	3.662776E-03	2.581762E-03
5.70	3.525127E-03	2.610259E-03
5.80	3.395314E-03	2.638756E-03
5.90	3.273339E-03	2.667253E-03
6.00	3.159200E-03	2.695750E-03
6.10	3.052899E-03	2.724247E-03
6.20	2.954434E-03	2.752744E-03
6.30	2.863807E-03	2.781241E-03
6.40	2.781016E-03	2.809738E-03
6.50	2.706063E-03	2.838235E-03
6.60	2.638946E-03	2.866732E-03
6.70	2.579667E-03	2.895229E-03
6.80	2.528224E-03	2.923726E-03
6.90	2.484619E-03	2.952223E-03
7.00	2.448850E-03	2.980720E-03
7.10	2.420919E-03	3.009217E-03
7.20	2.400824E-03	3.037714E-03
7.30	2.388567E-03	3.066211E-03
7.40	2.384146E-03	3.094708E-03
7.50	2.387563E-03	3.123205E-03
7.60	2.398816E-03	3.151702E-03
7.70	2.417907E-03	3.180199E-03
7.80	2.444834E-03	3.208696E-03
7.90	2.479599E-03	3.237193E-03
8.00	2.522200E-03	3.265690E-03
8.10	2.572639E-03	3.294187E-03
8.20	2.630914E-03	3.322684E-03
8.30	2.697027E-03	3.351181E-03
8.40	2.770976E-03	3.379678E-03
8.50	2.852763E-03	3.408175E-03
8.60	2.942386E-03	3.436672E-03
8.70	3.039847E-03	3.465169E-03
8.80	3.145144E-03	3.493666E-03
8.90	3.258279E-03	3.522163E-03
9.00	3.379250E-03	3.550660E-03
