Pin [Pa]	ΔP local [Pa]	ΔP dist [Pa]	ΔP total [Pa]	Pout [Pa]	u [m/s]
13092.92029	0.000712	0.000828311	0.001540311	1.041	0.00
13102.40553	0.0712	0.046579355	0.117779355	10.41	0.01
13113.13922	0.2848	0.156673651	0.441473651	20.82	0.02
13124.06708	0.6408	0.318533905	0.959333905	31.23	0.03
13135.18394	1.1392	0.526985244	1.666185244	41.64	0.04
13146.48649	1.78	0.778737302	2.558737302	52.05	0.05
13157.97237	2.5632	1.071416076	3.634616076	62.46	0.06
13169.63974	3.4888	1.403185345	4.891985345	72.87	0.07
13181.48711	4.5568	1.772560012	6.329360012	83.28	0.08
13193.51325	5.7672	2.178300854	7.945500854	93.69	0.09
13205.7171	7.12	2.619349621	9.739349621	104.1	0.10
13218.09774	8.6152	3.094786326	11.70998633	114.51	0.11
13230.65435	10.2528	3.603799751	13.85659975	124.92	0.12
13243.38622	12.0328	4.145666259	16.17846626	135.33	0.13
13256.29268	13.9552	4.719734107	18.67493411	145.74	0.14
13269.37316	16.02	5.325411523	21.34541152	156.15	0.15
13282.62711	18.2272	5.962157439	24.18935744	166.56	0.16
13296.05402	20.5768	6.629474168	27.20627417	176.97	0.17
13309.65345	23.0688	7.32690152	30.39570152	187.38	0.18
13323.42496	25.7032	8.054011993	33.75721199	197.79	0.19
13337.36816	28.48	8.810406827	37.29040683	208.2	0.20
13351.48266	31.3992	9.595712691	40.99491269	218.61	0.21
13365.76813	34.4608	10.40957891	44.87037891	229.02	0.22
13380.22423	37.6648	11.25167511	48.91647511	239.43	0.23
13394.85064	41.0112	12.12168917	53.13288917	249.84	0.24
13409.64708	44.5	13.01932551	57.51932551	260.25	0.25
13424.61325	48.1312	13.94430358	62.07550358	270.66	0.26
13439.74891	51.9048	14.89635651	66.80115651	281.07	0.27
13455.05378	55.8208	15.87522997	71.69602997	291.48	0.28
13470.52763	59.8792	16.88068114	76.75988114	301.89	0.29
13486.17023	64.08	17.91247784	81.99247784	312.3	0.30
13501.98135	68.4232	18.97039765	87.39359765	322.71	0.31
13517.96078	72.9088	20.05422727	92.96302727	333.12	0.32
13534.10831	77.5368	21.16376181	98.70056181	343.53	0.33
13550.42375	82.3072	22.29880425	104.6060043	353.94	0.34
13566.90691	87.22	23.45916489	110.6791649	364.35	0.35
